[2025-07-22 15:42:49.617] <wuwei MCTS版>    (in) : name
[2025-07-22 15:42:49.620] <wuwei MCTS版>    (in) : version
[2025-07-22 15:42:49.620] <wuwei MCTS版>    (in) : protocol_version
[2025-07-22 15:42:49.621] <wuwei MCTS版>    (in) : list_commands
[2025-07-22 15:42:49.621] <wuwei MCTS版>  (meta) : Engine Started
[2025-07-22 15:42:49.654] <wuwei MCTS版>  (meta) : Connection Failed
[2025-07-22 15:42:49.654] <wuwei MCTS版>  (meta) : Connection Failed
[2025-07-22 15:42:49.655] <wuwei MCTS版>  (meta) : Connection Failed
[2025-07-22 15:42:49.655] <wuwei MCTS版>  (meta) : Connection Failed
